Make/Model,Total Losses,Destroyed,Damaged,Captured,Abandoned,Damaged and Captured,Damaged and Abandoned
Unknown T-54/55,6,4,0,0,0,0,2
T-62 Obr. 1967,3,2,0,1,0,0,0
T-62 Obr. 1972,2,1,0,0,1,0,0
T-62M,108,56,6,29,2,5,5
T-62M Obr. 2022,19,14,2,0,2,0,1
T-62MV,30,15,1,8,1,1,3
Unknown T-62,13,10,0,0,2,0,1
T-64BV,92,70,10,3,2,1,4
T-64BVK,2,2,0,0,0,0,0
T-72 'Ural',4,2,0,0,1,0,1
T-72A,46,28,1,9,1,0,6
T-72AV,22,16,0,3,0,1,2
T-72B,347,239,8,58,16,5,11
T-72B Obr. 1989,108,70,4,16,4,3,8
T-72B Obr. 2022,117,80,3,1,8,0,23
T-72BA,31,13,2,15,0,1,0
T-72B3,375,243,25,64,6,9,18
T-72B3 Obr. 2014,3,1,0,1,0,0,0
T-72B3 Obr. 2016,279,151,6,92,4,12,4
T-72B3 Obr. 2022,62,48,3,3,1,0,7
Unknown T-72,154,110,13,2,6,0,8
T-80B,4,4,0,0,0,0,0
T-80BV,602,419,20,64,14,6,53
T-80BVK,4,3,0,1,0,0,0
T-80BV Obr. 2022,46,42,0,0,0,0,4
T-80U,99,43,1,36,5,4,1
T-80UK,2,1,0,1,0,0,0
T-80UE-1,7,3,0,4,0,0,0
T-80UM2,1,1,0,0,0,0,0
T-80BVM,130,82,6,27,0,4,10
T-80BVM Obr. 2022,34,24,0,4,0,1,5
Unknown T-80,21,11,2,1,1,0,5
T-90A,41,27,0,9,1,0,3
T-90AK,1,0,0,1,0,0,0
T-90S,10,9,0,0,0,0,1
T-90M,107,59,14,7,3,0,23
Unknown tank,425,325,21,0,24,0,38
BRM-1(K) reconnaissance vehicle,30,18,1,9,1,0,1
BRM-1K Obr. 2021,2,1,0,1,0,0,0
BRDM-2,5,4,0,1,0,0,0
BRDM-2M/A,4,4,0,0,0,0,0
BRDM-2-based ZS-82 PsyOps vehicle,2,1,0,1,0,0,0
BTR-80-based ZS-88 PsyOps vehicle,1,1,0,0,0,0,0
MT-LB,964,708,19,130,42,6,27
MT-LBVM and MT-LBVMK,209,105,0,89,8,3,2
MT-LB with ZU-23 AA gun,46,34,1,11,0,0,0
MT-LBVMK with ZU-23 AA gun,1,1,0,0,0,0,0
MT-LB With 14.5mm BPU-1 Turret,4,4,0,0,0,0,0
MT-LB with 82-mm automatic mortar 2B9 Vasilek,2,1,1,0,0,0,0
MT-LB with 25mm 2M-3 naval gun,1,1,0,0,0,0,0
MT-LBu,17,13,0,3,1,0,0
Vityaz DT-10PM articulated tracked carrier,1,1,0,0,0,0,0
Vityaz DT-30 articulated tracked carrier,4,1,0,1,0,2,0
GAZ-3344-20 'Aleut' articulated tracked carrier,3,3,0,0,0,0,0
2S1 with ZU-23 AA gun,1,0,0,1,0,0,0
Unknown BTR-D/BMD-2,10,9,0,0,0,0,0
BMM-80 ambulance,2,2,0,0,0,0,0
Unknown AFV,244,192,11,1,9,0,3
BMP-1(P),801,551,24,84,23,9,58
BMP-1AM,49,31,4,5,3,3,2
BMP-1 675-sb3KDZ,22,19,0,0,0,0,3
BMP-1AM 675-sb3KDZ,7,7,0,0,0,0,0
BMP-2(K),1366,913,35,199,39,21,63
BMP-2D,18,13,0,5,0,0,0
BMP-2M Berezhok,40,25,2,7,1,1,3
BMP-2 675-sb3KDZ,189,157,2,1,2,1,24
BMP-2M 675-sb3KDZ,9,8,0,0,0,0,1
Unknown BMP-1/2,212,175,4,0,10,0,12
Unknown BMP-1/2 675-sb3KDZ,4,3,0,0,1,0,0
BMP-3,371,258,21,48,12,5,17
BMP-3 Obr. 2020,38,22,0,10,0,3,3
BMP-3 688A-sb6-2KP,132,105,3,1,5,0,14
MT-LBM 6MB,15,9,2,2,1,1,0
BMD-2,292,205,5,51,6,3,8
BMD-4M,126,98,5,9,0,2,3
Unknown BMP-3 or BMD-4M,1,1,0,0,0,0,0
BTR-82A(M),687,485,27,105,10,6,21
BTR-82AT,161,130,6,14,4,0,7
BTR-50,5,4,0,0,0,0,1
BTR-50 with BPU-1 turret,4,2,0,0,1,0,1
BTR-60PB,1,0,1,0,0,0,0
BTR-70,14,12,1,1,0,0,0
BTR-70M,9,8,0,1,0,0,0
BTR-80,230,150,4,53,11,2,7
Unknown BTR-80/BTR-82A,68,54,5,0,3,0,2
Remdiesel Z-STS Akhmat,16,11,2,1,0,0,2
BTR-D,88,57,1,19,5,2,1
BTR-MDM Rakushka,43,30,3,8,1,0,1
Plastun-SN,1,1,0,0,0,0,0
BMO-T,4,3,0,1,0,0,0
KamAZ-63968 Typhoon,28,19,2,5,0,1,1
KamAZ-435029 Patrol-A,3,2,1,0,0,0,0
K-53949 Typhoon-K,11,10,0,1,0,0,0
K-53949 Linza,13,8,1,3,0,1,0
GAZ Tigr,15,7,0,7,1,0,0
GAZ Tigr-M,189,143,8,30,0,2,0
AMN-590951,30,20,4,3,1,0,1
Iveco LMV Rys,34,25,3,1,0,4,0
GAZ-39371 'Vodnik',2,0,0,2,0,0,0
Unknown IMV,3,3,0,0,0,0,0
BMP-1KSh command and staff vehicle,13,8,0,5,0,0,0
BMD-1KSh-A command vehicle,12,8,0,4,0,0,0
R-145BM1 command vehicle,8,7,0,1,0,0,0
R-145BMA command vehicle,1,1,0,0,0,0,0
R-142NSA command and signals vehicle,2,2,0,0,0,0,0
R-149MA1 command and staff vehicle,83,49,2,27,1,2,1
R-149MA3 command and staff vehicle,40,17,0,18,0,4,0
APE-5 command post,6,6,0,0,0,0,0
MSh-5350.1 command vehicle,2,1,0,1,0,0,0
9S470M1 (or variant thereof) command post (for Buk-M1/2),2,1,0,1,0,0,0
Barnaul-T 9С932-1 automated system for air defence units,7,3,0,4,0,0,0
Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,1,1,0,0,0,0,0
R-149AKSh-1 command and signals vehicle,23,19,2,1,0,0,0
R-149BMRg command and signals vehicle,3,2,0,1,0,0,0
R-161 signals vehicle,1,1,0,0,0,0,0
R-166-0.5 signals vehicle,24,18,0,6,0,0,0
P-240 digital communications vehicle,1,1,0,0,0,0,0
P-260 Redut-2US communication system,1,1,0,0,0,0,0
P-260-U signals vehicle (for Redut-2US signal and communications system),1,1,0,0,0,0,0
R-419L1 communications station,3,3,0,0,0,0,0
MP-1IM signals vehicle,11,8,0,3,0,0,0
R-381T2M radio monitoring station from a modernised R-381TM Taran-M automatic signals intelligence complex,5,4,0,1,0,0,0
Orlan-10 UAV control station,1,1,0,0,0,0,0
Lancet loitering munition launcher and control station,1,1,0,0,0,0,0
P-230T command vehicle,3,3,0,0,0,0,0
AShT-4310 topographic command and staff vehicle,1,1,0,0,0,0,0
Unknown communications station based on the KamAZ 6x6,5,5,0,0,0,0,0
Unknown UAV control station,1,1,0,0,0,0,0
Unknown communications or EW station,3,3,0,0,0,0,0
UR-67 mine clearing charge on BTR-D APC,1,0,0,1,0,0,0
UR-77 'Meteorit'  mine clearing vehicle,37,17,0,18,1,0,0
GMZ-3 minelayer,6,3,0,3,0,0,0
RKhM-4  CBRN reconnaissance vehicle,1,1,0,0,0,0,0
RKhM-6 Povozka CBRN reconnaissance vehicle,11,10,0,1,0,0,0
BAT-2 heavy engineering vehicle,10,3,3,3,0,0,1
MDK-3 trench-digging vehicle,3,1,1,1,0,0,0
BTS-4A armoured recovery vehicle,14,6,4,1,2,0,1
BREM-1 armoured recovery vehicle,79,44,1,16,9,0,8
BREM-2 armoured recovery vehicle,2,1,0,1,0,0,0
BREM-Ch ''BREM-4'' armoured recovery vehicle,3,2,0,1,0,0,0
BREM-D armoured recovery vehicle,3,1,0,2,0,0,0
BREM-K armoured recovery vehicle,4,1,0,3,0,0,0
REM-KL recovery vehicle,11,9,1,1,0,0,0
BREM-L armoured recovery vehicle,8,5,1,0,1,0,1
MTP-A2 recovery vehicle,3,2,0,0,1,0,0
MTP-A2.1 recovery vehicle,5,3,0,2,0,0,0
Ural-4320 KET-L recovery vehicle,3,1,0,2,0,0,0
Ural-4320 KT-L recovery vehicle,6,4,0,2,0,0,0
IMR-1 combat engineering vehicle,1,1,0,0,0,0,0
IMR-2(M) combat engineering vehicle,38,17,2,11,3,1,4
IMR-3M combat engineering vehicle,2,1,0,0,0,1,0
PTS-2  tracked amphibious transport,16,8,0,4,3,0,1
BMK-130M/BMK-150 towing and motor boat,1,0,0,1,0,0,0
BMK-460 towing and motor boat,9,2,0,0,6,0,0
BMK-MT towing and motor boat,2,2,0,0,0,0,0
BMK-MO towing and motor boat,3,0,1,1,0,1,0
EOV-3521 excavator,25,21,2,1,0,0,1
EOV-3523 excavator,22,19,0,3,0,0,0
EOV-4421 excavator,9,6,2,1,0,0,0
KamAZ-5350 with KS-45719-7M crane,8,5,1,2,0,0,0
Ural-4320 with KS-3574M3 or KS-3574M crane,4,3,0,1,0,0,0
KMV-10V boom crane truck,8,5,0,3,0,0,0
Mobile generator for Podlet-K1 low-altitude S-band surveillance radar,1,1,0,0,0,0,0
MTO-UB1 maintenance vehicle,3,1,0,2,0,0,0
